City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,41.34,99,100,21.41,TF,1701236552
1,kashgar,39.4547,75.9797,43.81,31,20,4.47,CN,1701236563
2,longyearbyen,78.2186,15.6401,31.84,86,40,1.14,SJ,1701236564
3,st. john's,47.5649,-52.7093,39.88,91,75,11.5,CA,1701236481
4,san jose de jachal,-30.2406,-68.7469,67.75,89,76,8.7,AR,1701236566
5,blackmans bay,-43.0167,147.3167,59.52,73,95,3.0,AU,1701236567
6,brzesko,49.9691,20.6061,26.82,91,100,1.99,PL,1701236491
7,sterling,39.0062,-77.4286,27.39,56,75,11.5,US,1701236569
8,floro,61.5996,5.0328,28.36,59,0,5.75,NO,1701236308
9,polyarnyy,69.1989,33.4478,26.55,88,91,15.21,RU,1701236571
10,port saint john's,-31.6229,29.5448,66.0,58,98,8.88,ZA,1701236572
11,grytviken,-54.2811,-36.5092,36.03,87,100,0.76,GS,1701236583
12,urucara,-2.5364,-57.76,74.8,91,28,2.51,BR,1701236583
13,setubal,38.5244,-8.8882,63.55,91,57,6.22,PT,1701236584
14,olonkinbyen,70.9221,-8.7187,35.02,77,97,5.68,SJ,1701236585
15,lihue,21.9789,-159.3672,72.64,90,20,3.44,US,1701236586
16,edinburgh of the seven seas,-37.0676,-12.3116,58.1,81,93,17.11,SH,1701236587
17,bethel,41.3712,-73.414,30.54,61,100,6.91,US,1701236361
18,kisangani,0.5167,25.2,73.76,94,40,9.22,CD,1701236598
19,adamstown,-25.066,-130.1015,72.45,88,10,9.4,PN,1701236599
20,preobrazheniye,42.9019,133.9064,18.25,56,67,9.8,RU,1701236610
21,ilulissat,69.2167,-51.1,24.82,46,75,18.41,GL,1701236612
22,holualoa,19.6228,-155.9522,75.04,85,40,11.5,US,1701236613
23,stanley,54.868,-1.6985,30.52,87,0,8.05,GB,1701236624
24,turkmenbasy,40.0222,52.9552,43.57,65,0,6.91,TM,1701236635
25,temiskaming shores,47.4938,-79.7153,3.0,87,27,4.65,CA,1701236636
26,punta arenas,-53.15,-70.9167,42.91,75,75,16.11,CL,1701236647
27,kailua-kona,19.6406,-155.9956,78.76,85,40,11.5,US,1701236560
28,san patricio,28.017,-97.5169,58.84,73,75,3.0,US,1701236649
29,margaret river,-33.95,115.0667,71.35,64,35,15.46,AU,1701236660
30,las heras,-46.5419,-68.9359,49.39,50,2,40.96,AR,1701236671
31,invercargill,-46.4,168.35,51.03,75,15,13.0,NZ,1701236672
32,kodiak,57.79,-152.4072,35.11,93,100,0.0,US,1701236609
33,kupang,-10.1667,123.5833,91.98,70,75,6.91,ID,1701236680
34,ushuaia,-54.8,-68.3,44.26,53,0,1.14,AR,1701236611
35,talnakh,69.4865,88.3972,-12.64,98,32,5.03,RU,1701236687
36,westport,41.1415,-73.3579,32.76,61,0,14.97,US,1701236167
37,happy valley-goose bay,53.3168,-60.3315,34.11,93,100,5.75,CA,1701236696
38,cannonvale,-20.2833,148.7,83.59,62,2,10.47,AU,1701236700
39,olinda,-8.0089,-34.8553,78.53,73,40,6.91,BR,1701236700
40,waitangi,-43.9535,-176.5597,55.81,74,96,1.99,NZ,1701236701
41,alice springs,-23.7,133.8833,67.55,88,75,12.66,AU,1701236702
42,pindushi,62.9152,34.58,16.41,98,99,4.56,RU,1701236703
43,petropavlovsk-kamchatsky,53.0452,158.6483,18.19,65,75,8.01,RU,1701236714
44,gunjur,13.2019,-16.7339,69.87,78,0,9.22,GM,1701236725
45,pamplona,42.8169,-1.6432,49.48,98,75,1.99,ES,1701236726
46,albany,42.6001,-73.9662,27.01,75,72,1.01,US,1701236727
47,port mathurin,-19.6833,63.4167,77.36,71,14,10.47,MU,1701236615
48,puerto natales,-51.7236,-72.4875,38.88,87,88,14.18,CL,1701236593
49,lebu,-37.6167,-73.65,48.45,84,1,10.58,CL,1701236646
50,annamalainagar,11.4,79.7333,82.56,75,95,9.89,IN,1701236741
51,bilibino,68.0546,166.4372,-28.97,100,98,2.82,RU,1701236742
52,sona,45.4388,10.8255,37.33,79,0,5.5,IT,1701236749
53,socorro,31.6546,-106.3033,54.88,43,75,6.91,US,1701236752
54,bereznik,62.8551,42.7072,15.19,99,97,3.33,RU,1701236754
55,vorgashor,67.5833,63.95,15.93,90,100,5.59,RU,1701236756
56,hithadhoo,-0.6,73.0833,82.81,75,100,9.71,MV,1701236757
57,vanimo,-2.6741,141.3028,84.87,74,87,7.09,PG,1701236758
58,wailua homesteads,22.0669,-159.378,72.03,92,20,3.44,US,1701236761
59,ravar,31.2656,56.8055,61.52,36,0,3.38,IR,1701236763
60,naze,28.3667,129.4833,68.92,53,43,3.58,JP,1701236764
61,utrik,11.2278,169.8474,81.97,77,68,19.89,MH,1701236769
